source_line,invoice_no,invoice_date,vendor_gstin,vendor_name_raw,vendor_name_canonical,category,state,description,taxable_amount_orig,gst_amount_orig,gst_rate,currency,taxable_amount_inr,gst_amount_inr,payment_status,payment_date,is_credit_note,standard_term_days,flags
117,INV-2024-0113,2025-01-06,19AAECE3456N1Z1,Eastern Logistics Co,Eastern Logistics Co,Transport,West Bengal,Structural design review,9291.0,1115.0,0.12,INR,9291.0,1115.0,Paid,2025-02-27,False,15,
118,INV-2024-0047,2024-07-01,24AAHCN6789R1Z6,Nova Paints & Coatings,Nova Paints & Coatings,Consumables,Gujarat,Welding consumables,517143.0,62057.0,0.12,INR,517143.0,62057.0,Paid,2024-08-31,False,30,
119,INV-2024-0030,2025-03-02,19AAECE3456N1Z1,Eastern Logistics,Eastern Logistics Co,Transport,West Bengal,Epoxy primer 200L,238404.0,42912.77,0.18,INR,238404.0,42912.77,Paid,2025-03-27,False,15,
120,INV-2024-0023,2024-12-28,21AACCK5678L1Z2,Konark Fab,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Welding consumables,11632.0,1395.83,0.12,INR,11632.0,1395.83,Paid,2025-02-18,False,45,
121,INV-2024-0071,2024-09-16,33AADCS9012M1Z8,Sundaram Engg,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,MS plate 12mm supply,49987.0,2499.35,0.05,INR,49987.0,2499.35,Unpaid,,False,45,
122,INV-2024-0115,2024-08-22,07AAKCA4567U1Z7,Apex Safety Equip.,Apex Safety Equipment,Safety,Delhi,Shot blasting service,660167.0,118829.99,0.18,INR,660167.0,118829.99,Unpaid,,False,30,
123,INV-2024-0043,2024-08-19,19AAECE3456N1Z1,Eastern Logistics Co,Eastern Logistics Co,Transport,West Bengal,Shot blasting service,44372.0,7987.0,0.18,INR,44372.0,7987.0,Unpaid,,False,15,
124,INV-2024-0106,2024-05-25,24AAHCN6789R1Z6,NOVA PAINTS & COATINGS,Nova Paints & Coatings,Consumables,Gujarat,Cutting tools replenishment,98163.59,27485.8,0.28,INR,98163.59,27485.8,Paid,2024-07-08,False,30,
125,INV-2024-0075,2024-05-30,29AALCM8901V1Z0,Meridian Consultants,Meridian Consultants LLP,Services,Karnataka,Welding consumables,273249.59,49184.93,0.18,INR,273249.59,49184.93,Paid,2024-07-13,False,45,
126,INV-2024-0021,2024-11-27,33AADCS9012M1Z8,SUNDARAM ENGINEERING LTD,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,Site safety harness x20,36265.79,1813.0,0.05,INR,36265.79,1813.0,Paid,2024-12-22,False,45,
127,INV-2024-0031,2024-06-09,19AAECE3456N1Z1,EASTERN LOGISTICS,Eastern Logistics Co,Transport,West Bengal,Freight - Durgapur to Asansol,267432.72,48138.0,0.18,INR,267432.72,48138.0,Paid,2024-07-19,False,15,
128,INV-2024-0063,2025-02-17,07AAKCA4567U1Z7,Apex Safety Equipment,Apex Safety Equipment,Safety,Delhi,Structural design review,696547.57,125378.56,0.18,INR,696547.57,125378.56,Paid,2025-03-24,False,30,
